image_path,label
data/train/001.Black_footed_Albatross/17.jpg,1
data/train/001.Black_footed_Albatross/25.jpg,1
data/train/001.Black_footed_Albatross/3.jpg,1
data/train/001.Black_footed_Albatross/19.jpg,1
data/train/001.Black_footed_Albatross/8.jpg,1
data/train/001.Black_footed_Albatross/34.jpg,1
data/train/001.Black_footed_Albatross/7.jpg,1
data/train/001.Black_footed_Albatross/9.jpg,1
data/train/001.Black_footed_Albatross/29.jpg,1
data/train/001.Black_footed_Albatross/11.jpg,1
data/train/001.Black_footed_Albatross/40.jpg,1
data/train/001.Black_footed_Albatross/28.jpg,1
data/train/001.Black_footed_Albatross/32.jpg,1
data/train/001.Black_footed_Albatross/13.jpg,1
data/train/001.Black_footed_Albatross/14.jpg,1
data/train/001.Black_footed_Albatross/35.jpg,1
data/train/001.Black_footed_Albatross/27.jpg,1
data/train/001.Black_footed_Albatross/23.jpg,1
data/train/001.Black_footed_Albatross/30.jpg,1
data/train/001.Black_footed_Albatross/39.jpg,1
data/train/001.Black_footed_Albatross/38.jpg,1
data/train/001.Black_footed_Albatross/12.jpg,1
data/train/001.Black_footed_Albatross/18.jpg,1
data/train/001.Black_footed_Albatross/15.jpg,1
data/train/001.Black_footed_Albatross/1.jpg,1
data/train/001.Black_footed_Albatross/26.jpg,1
data/train/001.Black_footed_Albatross/20.jpg,1
data/train/001.Black_footed_Albatross/4.jpg,1
data/train/001.Black_footed_Albatross/44.jpg,1
data/train/001.Black_footed_Albatross/16.jpg,1
data/train/001.Black_footed_Albatross/45.jpg,1
data/train/001.Black_footed_Albatross/37.jpg,1
data/train/001.Black_footed_Albatross/2.jpg,1
data/train/001.Black_footed_Albatross/46.jpg,1
data/train/001.Black_footed_Albatross/22.jpg,1
data/train/001.Black_footed_Albatross/5.jpg,1
data/train/001.Black_footed_Albatross/33.jpg,1
data/train/001.Black_footed_Albatross/24.jpg,1
data/train/001.Black_footed_Albatross/6.jpg,1
data/train/001.Black_footed_Albatross/42.jpg,1
data/train/001.Black_footed_Albatross/36.jpg,1
data/train/001.Black_footed_Albatross/21.jpg,1
data/train/001.Black_footed_Albatross/31.jpg,1
data/train/001.Black_footed_Albatross/41.jpg,1
data/train/001.Black_footed_Albatross/48.jpg,1
data/train/001.Black_footed_Albatross/10.jpg,1
data/train/001.Black_footed_Albatross/43.jpg,1
data/train/001.Black_footed_Albatross/47.jpg,1
data/train/002.Laysan_Albatross/17.jpg,2
data/train/002.Laysan_Albatross/25.jpg,2
data/train/002.Laysan_Albatross/3.jpg,2
data/train/002.Laysan_Albatross/19.jpg,2
data/train/002.Laysan_Albatross/8.jpg,2
data/train/002.Laysan_Albatross/34.jpg,2
data/train/002.Laysan_Albatross/7.jpg,2
